_Traffic Sign (Back)_____, , 48, , , , , 
_Caravan_____, , 55, , , , , 
_Trailer_____, , 59, , , , , 
_Ego Vehicle_____, , 63, , , , , 
__floor mat____, , , 20, , , , 
__night stand____, , , 32, , , , 
___sidewalk___, , , , 1, , , 
___rider___, , , , 12, , , 
____trailer or caravan or vehicle fallback__, , , , , 12, , 
____obs-str-bar-fallback__, , , , , 21, , 
_____flag_, , , , , , 0, 
_____grass_, , , , , , 10, 
_____earth_, , , , , , 14, 
_____plant_, , , , , , 18, 
_____house_, , , , , , 26, 
_____sea_, , , , , , 27, 
_____rug_, , , , , , 29, 
_____field_, , , , , , 30, 
_____armchair_, , , , , , 31, 
_____seat_, , , , , , 32, 
_____rock_, , , , , , 35, 
_____wardrobe_, , , , , , 36, 
_____railing_, , , , , , 39, 
_____cushion_, , , , , , 40, 
_____base_, , , , , , 41, 
_____column_, , , , , , 43, 
_____signboard_, , , , , , 44, 
_____counter_, , , , , , 46, 
_____skyscraper_, , , , , , 49, 
_____fireplace_, , , , , , 50, 
_____grandstand_, , , , , , 52, 
_____path_, , , , , , 53, 
_____stairs_, , , , , , 54, 
_____case_, , , , , , 56, 
_____pool table_, , , , , , 57, 
_____screen door_, , , , , , 59, 
_____river_, , , , , , 61, 
_____coffee table_, , , , , , 65, 
_____hill_, , , , , , 69, 
_____stove_, , , , , , 72, 
_____palm_, , , , , , 73, 
_____kitchen island_, , , , , , 74, 
_____computer_, , , , , , 75, 
_____swivel chair_, , , , , , 76, 
_____bar_, , , , , , 78, 
_____arcade machine_, , , , , , 79, 
_____light_, , , , , , 83, 
_____tower_, , , , , , 85, 
_____chandelier_, , , , , , 86, 
_____booth_, , , , , , 89, 
_____dirt track_, , , , , , 92, 
_____land_, , , , , , 95, 
_____bannister_, , , , , , 96, 
_____escalator_, , , , , , 97, 
_____ottoman_, , , , , , 98, 
_____bottle_, , , , , , 99, 
_____buffet_, , , , , , 100, 
_____stage_, , , , , , 102, 
_____van_, , , , , , 103, 
_____ship_, , , , , , 104, 
_____fountain_, , , , , , 105, 
_____conveyer belt_, , , , , , 106, 
_____washer_, , , , , , 108, 
_____barrel_, , , , , , 112, 
_____basket_, , , , , , 113, 
_____waterfall_, , , , , , 114, 
_____tent_, , , , , , 115, 
_____cradle_, , , , , , 118, 
_____oven_, , , , , , 119, 
_____food_, , , , , , 121, 
_____tank_, , , , , , 123, 
_____trade name_, , , , , , 124, 
_____microwave_, , , , , , 125, 
_____pot_, , , , , , 126, 
_____lake_, , , , , , 129, 
_____dishwasher_, , , , , , 130, 
_____screen_, , , , , , 131, 
_____blanket_, , , , , , 132, 
_____sculpture_, , , , , , 133, 
_____hood_, , , , , , 134, 
_____sconce_, , , , , , 135, 
_____fan_, , , , , , 140, 
_____pier_, , , , , , 141, 
_____crt screen_, , , , , , 142, 
_____monitor_, , , , , , 144, 
_____bulletin board_, , , , , , 145, 
_____shower_, , , , , , 146, 
_____radiator_, , , , , , 147, 
______car, , , , , , , 2
______motorcycle, , , , , , , 3
______bus, , , , , , , 5
______train, , , , , , , 6
______truck, , , , , , , 7
______traffic light, , , , , , , 9
______fire hydrant, , , , , , , 10
______stop sign, , , , , , , 11
______parking meter, , , , , , , 12
______bench, , , , , , , 13
______bird, , , , , , , 14
______cat, , , , , , , 15
______dog, , , , , , , 16
______horse, , , , , , , 17
______sheep, , , , , , , 18
______cow, , , , , , , 19
______elephant, , , , , , , 20
______bear, , , , , , , 21
______zebra, , , , , , , 22
______giraffe, , , , , , , 23
______backpack, , , , , , , 24
______umbrella, , , , , , , 25
______tie, , , , , , , 27
______frisbee, , , , , , , 29
______skis, , , , , , , 30
______snowboard, , , , , , , 31
______kite, , , , , , , 33
______baseball bat, , , , , , , 34
______baseball glove, , , , , , , 35
______skateboard, , , , , , , 36
______surfboard, , , , , , , 37
______tennis racket, , , , , , , 38
______bottle, , , , , , , 39
______cup, , , , , , , 41
______fork, , , , , , , 42
______bowl, , , , , , , 45
______banana, , , , , , , 46
______apple, , , , , , , 47
______sandwich, , , , , , , 48
______orange, , , , , , , 49
______broccoli, , , , , , , 50
______carrot, , , , , , , 51
______hot dog, , , , , , , 52
______pizza, , , , , , , 53
______donut, , , , , , , 54
______cake, , , , , , , 55
______chair, , , , , , , 56
______couch, , , , , , , 57
______potted plant, , , , , , , 58
______dining table, , , , , , , 60
______toilet, , , , , , , 61
______tv, , , , , , , 62
______laptop, , , , , , , 63
______mouse, , , , , , , 64
______keyboard, , , , , , , 66
______cell phone, , , , , , , 67
______microwave, , , , , , , 68
______oven, , , , , , , 69
______toaster, , , , , , , 70
______sink, , , , , , , 71
______refrigerator, , , , , , , 72
______book, , , , , , , 73
______vase, , , , , , , 75
______scissors, , , , , , , 76
______teddy bear, , , , , , , 77
______hair drier, , , , , , , 78
______blanket, , , , , , , 81
______curtain, , , , , , , 85
______floor-wood, , , , , , , 87
______house, , , , , , , 91
______net, , , , , , , 94
______pillow, , , , , , , 95
______platform, , , , , , , 96
______playingfield, , , , , , , 97
______railroad, , , , , , , 98
______river, , , , , , , 99
______road, , , , , , , 100
______sand, , , , , , , 102
______sea, , , , , , , 103
______wall-brick, , , , , , , 109
______wall-wood, , , , , , , 112
______window-blind, , , , , , , 114
______fence-merged, , , , , , , 117
______ceiling-merged, , , , , , , 118
______table-merged, , , , , , , 121
______pavement-merged, , , , , , , 123
______grass-merged, , , , , , , 125
______dirt-merged, , , , , , , 126
______paper-merged, , , , , , , 127
______food-other-merged, , , , , , , 128
______building-other-merged, , , , , , , 129
______rock-merged, , , , , , , 130
______wall-other-merged, , , , , , , 131
______rug-merged, , , , , , , 132
